Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
506,510,509,509,463,381,-348,-280,-32,-1744,1231,1922,512,495,500,463,468,505,168,4,12,1665,-418,248
507,510,509,509,468,375,-352,-8,140,-512,0,906,512,495,499,463,467,506,276,64,140,1433,-335,466
504,510,509,509,466,374,-204,-84,24,375,-2046,-606,513,495,504,463,467,506,296,-164,292,709,2293,1679
501,510,509,509,461,370,-60,-168,84,-703,-1888,-1366,513,495,504,463,466,508,188,60,184,1070,2610,2328
502,510,509,509,457,371,-228,-184,60,-868,-1713,1620,513,495,504,463,467,507,196,168,4,1934,2232,3016
501,510,509,509,459,376,-220,-172,136,-879,-1720,-56,513,495,504,463,465,506,296,-140,48,2465,1019,3393
500,510,509,509,459,372,-308,-144,68,-802,-1912,1338,513,495,503,461,462,504,180,-8,-80,2777,-1235,784
495,510,509,509,458,377,-244,-128,-12,-1449,-305,2969,512,495,505,460,462,508,280,108,264,400,513,1525
492,510,509,508,461,377,-272,-104,48,-1155,-1188,29,513,495,504,460,463,505,296,-536,212,-104,1467,1014
493,509,509,508,464,376,-168,-160,100,-597,-1004,1356,512,495,505,461,462,505,356,-140,96,1685,-1152,1296
488,510,509,508,462,376,-252,-120,136,-1049,-896,968,513,495,504,462,461,505,268,56,304,1956,450,1156
494,510,509,508,464,376,-276,-244,40,-1329,-539,383,513,495,505,463,458,506,264,132,260,1235,-35,786
493,510,509,508,465,379,-100,-244,32,-1322,-15,3187,513,495,505,462,459,507,132,-24,96,941,299,297
461,510,509,508,461,375,-316,-128,16,-1621,-403,-595,513,495,506,462,460,507,224,-36,68,1463,-111,675
442,510,509,508,450,371,-180,20,132,-1552,-172,3165,513,495,505,463,459,506,372,0,320,1894,-1977,670
458,510,509,508,455,373,-296,-152,16,-1936,1510,2000,513,495,505,463,459,506,364,-700,164,1351,291,1421
465,510,509,508,456,372,-268,-100,96,-1696,1300,667,513,495,505,464,459,506,124,52,-40,2247,-1097,-613
495,510,509,508,469,371,-132,-136,204,-1527,2130,1882,513,495,506,464,459,507,248,136,84,3432,-3729,-1181
507,510,509,509,470,360,-308,-108,16,-3329,5266,2268,513,495,506,468,460,509,324,4,160,2295,-3846,-1315
508,510,509,509,475,357,-216,-28,4,-1100,5980,-619,512,495,505,469,460,498,316,0,-164,4894,-7761,-4682
507,510,509,509,479,358,-4,-252,12,2517,10338,-3919,510,496,506,464,449,502,112,260,-16,1510,-6396,-2800
506,510,509,509,480,365,-204,-72,220,3224,4264,-3098,496,495,506,465,452,497,228,104,56,-1001,-5472,-2089
508,510,509,508,477,366,-320,-8,172,1345,7310,1520,487,495,506,464,452,493,108,-44,56,-1902,-5817,-2638
509,510,509,508,477,368,-848,-340,108,-1366,4550,1848,480,496,504,460,451,495,-76,236,348,-3151,-4799,-1381
509,510,509,508,478,364,-120,-216,60,-168,1519,-1568,476,495,501,460,447,494,376,-432,52,-1548,-3345,825
508,510,509,509,478,366,-280,-200,176,1814,1613,2052,478,495,493,460,455,491,220,308,132,1166,-2662,-1132
509,510,509,509,477,368,-216,-92,84,1782,3549,1930,488,495,493,459,456,489,316,-100,-36,-1342,-3350,-261
509,510,509,509,476,368,-48,-180,4,2303,3935,2803,503,495,493,458,456,495,188,708,72,-1494,-3064,2
509,510,509,509,477,363,20,-100,88,4389,978,2894,480,495,492,463,453,490,176,88,-188,-2227,-466,2170
508,510,509,509,470,358,-588,-68,-124,2323,5663,3257,504,496,505,473,464,505,144,96,348,-3272,-338,2713
509,510,509,508,479,362,-264,-24,224,2681,-809,-674,496,496,504,468,472,506,784,328,-12,-1618,-3350,803
509,510,509,508,479,362,-288,-76,12,3689,1487,4014,460,495,493,467,459,495,608,-1020,-472,1099,-2501,-3230
509,510,509,508,474,362,-280,-180,88,3651,-5,195,483,495,489,467,446,490,244,188,92,-1969,-2540,678
509,510,509,509,472,362,-108,-428,292,3340,-633,-886,502,495,487,462,448,495,52,228,60,-1756,-2339,449
509,510,509,509,476,361,-344,-152,28,2034,1336,10681,508,495,485,462,441,492,320,140,152,-2340,-2066,2728
509,510,509,508,481,349,-56,76,44,1058,-2801,-2678,512,495,489,463,449,500,168,336,248,-2595,-162,1887
509,510,509,509,478,351,-72,-396,124,-617,2403,-1396,508,496,489,461,446,498,420,-428,-156,-2110,-2150,1970
509,510,509,509,478,347,184,-528,552,1623,2121,-1699,499,495,487,464,442,490,568,232,368,-2456,-359,2304
509,510,509,509,477,351,-224,-168,136,3310,1617,1574,489,496,490,465,434,494,192,4,108,-2808,-547,1693
509,510,509,509,477,353,-200,-160,140,3866,-920,2411,493,495,488,463,436,498,152,332,380,-2774,-64,3080
509,510,509,509,474,354,-412,-12,228,4017,-3242,5894,497,496,491,463,448,498,276,244,28,-2977,1498,3036
