Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
513.97,495.04,307.92,487.12,190.94,275.34,209.95,73.658,-71.214,-1758.5,-1701.1,141.07,458.6,489.12,502.34,418.93,187.75,386.51,161.86,-3.5091,-91.419,-1762.9,147.65,1411.4
513.66,495.27,314.61,486.9,192.47,275.07,175.89,32.882,-91.696,-2082.4,-2214.2,386.81,458.29,488.44,502.33,419.43,175.67,388.38,175.2,2.122,-89.086,-1900,199.57,1465.9
513.28,495.34,321.55,486.7,194.02,274.81,149.74,6.7677,-102.1,-2468.7,-2669.2,704.61,458.24,487.79,502.33,419.9,164.2,390.42,197.28,19.718,-81.049,-2032,208.78,1603.3
512.85,495.27,328.63,486.5,195.58,274.56,141.19,2.921,-99.296,-2876.4,-3002.6,1069.9,458.44,487.17,502.31,420.34,153.38,392.62,226.69,53.597,-67.239,-2170.2,169.87,1829.5
512.4,495.07,335.76,486.3,197.14,274.31,156.53,22.823,-83.325,-3255.4,-3171.1,1451,458.89,486.59,502.29,420.75,143.26,394.95,260.44,104.15,-49.604,-2322.7,87.818,2134.2
511.94,494.75,342.83,486.11,198.67,274.06,195.74,60.162,-57.344,-3556.5,-3157.3,1813.2,459.59,486.05,502.27,421.14,133.88,397.4,294.43,166.23,-32.058,-2491.2,-21.771,2490.4
511.48,494.33,349.74,485.93,200.18,273.82,251.74,102.12,-26.407,-3740.1,-2970.1,2122,460.52,485.55,502.24,421.5,125.27,399.94,324.33,229.09,-19.535,-2668.3,-135.08,2858.1
511.04,493.81,356.39,485.77,201.64,273.57,312.36,133.63,4.1697,-3782.3,-2638.8,2344.8,461.67,485.11,502.21,421.84,117.44,402.54,346.39,278.25,-16.278,-2838.6,-224.48,3190.3
510.62,493.22,362.69,485.61,203.06,273.33,364.29,143.12,30.174,-3677.3,-2205.1,2453.2,463.03,484.73,502.17,422.17,110.42,405.18,358.13,299.42,-23.968,-2980.7,-264.07,3439.4
510.23,492.57,368.54,485.46,204.43,273.09,397.28,127.19,49.093,-3436.2,-1714,2425.3,464.59,484.41,502.13,422.49,104.2,407.83,358.7,283.37,-40.633,-3071.9,-235.36,3565.3
509.88,491.88,373.87,485.33,205.73,272.85,406.68,92.183,59.946,-3083.7,-1208.3,2248.3,466.3,484.15,502.08,422.8,98.782,410.46,348.97,229.87,-61.05,-3092.1,-131.7,3540.5
509.58,491.16,378.59,485.21,206.96,272.61,393.78,51.724,62.709,-2653.9,-724.25,1923,468.16,483.96,502.04,423.11,94.144,413.03,331.32,149.02,-78.706,-3028.5,39.481,3355.1
509.31,490.44,382.66,485.11,208.12,272.37,364.32,21.449,57.821,-2185.8,-291.54,1467.4,470.14,483.83,501.98,423.42,90.264,415.51,309.22,58.889,-88.498,-2877.9,257.1,3018.1
509.09,489.73,386,485.03,209.21,272.13,326.26,13.019,46.055,-1718.8,67.031,917.36,472.2,483.77,501.93,423.73,87.112,417.87,286.6,-19.675,-88.875,-2647.6,489.82,2556.6
508.9,489.04,388.59,484.97,210.21,271.9,287.75,29.995,28.748,-1289.2,335.6,325.33,474.31,483.77,501.88,424.05,84.647,420.08,267.08,-69.13,-82.335,-2353.9,701.8,2012.5
508.75,488.39,390.4,484.93,211.13,271.67,255.53,67.088,8.126,-926.24,506.25,-246.13,476.43,483.83,501.82,424.37,82.823,422.11,253.3,-80.123,-74.034,-2018.8,859.7,1436.1
508.64,487.79,391.41,484.91,211.97,271.44,233.93,112.82,-12.625,-649.23,580.56,-733.47,478.54,483.95,501.77,424.71,81.59,423.92,246.53,-53.495,-69.292,-1665.8,939.64,879.48
508.55,487.25,391.64,484.91,212.72,271.22,224.31,154.15,-29.742,-466.06,570.68,-1082.8,480.6,484.12,501.73,425.06,80.888,425.49,246.55,0.87252,-71.25,-1316.3,932.41,388.63
