Ball_of_foot_PMmax,Bridge_PMmax,Heel_PMmax,Calf_PMmax,Inner_shin_PMmax,Outer_shin_PMmax,ax_Mmax,ay_Mmax,az_Mmax,gx_Mmax,gy_Mmax,gz_Mmax,Ball_of_foot_PSmax,Bridge_PSmax,Heel_PSmax,Calf_PSmax,Inner_shin_PSmax,Outer_shin_PSmax,ax_Smax,ay_Smax,az_Smax,gx_Smax,gy_Smax,gz_Smax,Ball_of_foot_PMmean,Bridge_PMmean,Heel_PMmean,Calf_PMmean,Inner_shin_PMmean,Outer_shin_PMmean,ax_Mmean,ay_Mmean,az_Mmean,gx_Mmean,gy_Mmean,gz_Mmean,Ball_of_foot_PSmean,Bridge_PSmean,Heel_PSmean,Calf_PSmean,Inner_shin_PSmean,Outer_shin_PSmean,ax_Smean,ay_Smean,az_Smean,gx_Smean,gy_Smean,gz_Smean,Ball_of_foot_PMmin,Bridge_PMmin,Heel_PMmin,Calf_PMmin,Inner_shin_PMmin,Outer_shin_PMmin,ax_Mmin,ay_Mmin,az_Mmin,gx_Mmin,gy_Mmin,gz_Mmin,Ball_of_foot_PSmin,Bridge_PSmin,Heel_PSmin,Calf_PSmin,Inner_shin_PSmin,Outer_shin_PSmin,ax_Smin,ay_Smin,az_Smin,gx_Smin,gy_Smin,gz_Smin,Ball_of_foot_PMstd,Bridge_PMstd,Heel_PMstd,Calf_PMstd,Inner_shin_PMstd,Outer_shin_PMstd,ax_Mstd,ay_Mstd,az_Mstd,gx_Mstd,gy_Mstd,gz_Mstd,Ball_of_foot_PSstd,Bridge_PSstd,Heel_PSstd,Calf_PSstd,Inner_shin_PSstd,Outer_shin_PSstd,ax_Sstd,ay_Sstd,az_Sstd,gx_Sstd,gy_Sstd,gz_Sstd
503,508,473,510,481,325,1132,428,140,15619,5049,32669,495,511,508,511,451,510,556,148,1044,10614,5009,10997,427.6428571,489.6428571,409.3571429,509.4285714,470.0714286,301.2142857,183.4285714,-62.57142857,-60.28571429,-252.8571429,-1252.714286,-300.1428571,459.5714286,510.6428571,488.5714286,500.4285714,434.7857143,508.5714286,127.4285714,-247.4285714,10.85714286,600.9285714,-1223.428571,904.7142857,406,464,182,509,463,281,-592,-1896,-1136,-18129,-17435,-32768,453,509,423,436,416,500,-388,-2040,-684,-5909,-18652,-2149,24.38561386,10.99744868,89.07429254,0.494871659,3.750510169,14.4527732,421.4528807,524.533223,301.7717748,8947.697428,5475.282503,13537.13712,10.49295196,0.610285982,27.19431213,25.89736414,8.520383722,2.583305903,239.3555975,595.7580662,339.2207156,3849.262238,5133.796544,3151.151613
476,494,362,509,470,346,292,172,116,1112,213,230,473,511,507,511,418,511,340,180,88,210,74,61,469.8,481.4,265.8,509,467.8,337.4666667,220.2666667,123.4666667,13.33333333,526.2666667,-355.1333333,31.46666667,466.8666667,510.1333333,497.8666667,511,417.6,510.0666667,235.7333333,49.86666667,-16.26666667,92.8,-321.8,-189.4,461,478,221,509,466,333,120,64,-180,36,-851,-135,462,509,469,511,417,509,184,0,-84,-23,-851,-619,5.55217675,4.469153537,43.08317537,0,1.166190379,4.096611066,39.58361053,30.21228595,70.14904767,274.6412124,333.0555242,117.1101286,3.343982988,0.718021974,10.41707999,0,0.489897949,0.442216639,33.95578825,38.44626842,34.79361372,66.26633132,288.8910291,222.442442
460,466,333,510,468,323,216,132,40,476,349,226,455,509,501,511,416,511,228,64,-24,84,88,125,458.3333333,463.7333333,322.3333333,509.2666667,467.2,322.8,212.5333333,122.1333333,32.8,241.2666667,14.26666667,105.8,455,509,500.1333333,511,415,510.9333333,223.2,62.13333333,-30.13333333,50.2,53.73333333,99,457,462,319,509,466,322,208,116,24,31,-271,-20,455,509,499,511,414,510,216,56,-36,17,-23,40,0.788810638,1.181336343,4.157990968,0.442216639,0.8326664,0.4,2.872087897,3.53773311,5.503937984,107.654055,161.5439947,74.06771676,0,0,0.618241233,0,0.632455532,0.249443826,3.636848453,2.872087897,4.096611066,19.43261863,27.92243224,21.99696949
446,508,501,510,471,322,284,320,72,2645,2701,5095,452,509,498,511,421,509,220,84,-44,91,165,216,441.5,495.4285714,441.2142857,509.1428571,468.7857143,308.0714286,218.5714286,136.2857143,29.71428571,465.2142857,-331.4285714,532.8571429,450.6428571,506.1428571,477.7142857,511,417.8571429,507.7142857,210.8571429,74.85714286,-58,37.92857143,44.78571429,74.42857143,438,484,401,509,467,286,176,88,-20,-606,-2718,-2747,448,501,441,511,416,505,200,52,-84,0,-51,-5,2.528410003,8.682612228,37.21976927,0.349927106,1.080910425,10.42979445,23.83788787,58.85506238,23.30980349,954.5545841,1208.324679,2048.320003,1.630387459,2.924212784,21.06258894,0,1.406979686,1.220571964,5.329930887,9.612916481,8.652002246,27.19365547,61.86873036,60.59079879
441,495,488,509,469,308,248,208,124,1037,686,430,447,507,495,511,418,509,220,112,-52,139,-20,20,439.8,489.4666667,461.4,509,467,304.2666667,214.1333333,128.8,16.8,373.4666667,-176.1333333,56.66666667,438.0666667,503.8,485.1333333,511,416.7333333,508.5333333,206.6666667,83.73333333,-58.4,86.6,-131.8,-81.4,437,486,432,509,466,301,200,112,-8,-73,-1276,-275,433,502,472,511,415,508,176,52,-68,44,-245,-158,0.979795897,1.995550606,12.47824774,0,0.894427191,1.730767331,11.20634741,22.4,31.63795189,280.0428221,527.0006789,193.3065499,3.940671122,1.222020185,7.22833929,0,0.928559218,0.498887652,10.79917692,12.60405578,4.8,23.10786302,69.60957789,51.7091868
440,491,480,509,468,302,216,128,24,447,131,209,428,502,492,511,406,506,208,92,-52,75,73,130,439.5333333,488.1333333,475.8666667,509,467.1333333,300.8666667,211.7333333,125.0666667,14.93333333,298.0666667,-81.4,93.06666667,425.2666667,499.5333333,489.8,511,405.6666667,505.0666667,203.4666667,84.53333333,-59.73333333,60.8,13.06666667,60.33333333,439,486,474,509,466,300,208,120,8,192,-315,11,421,496,488,511,405,504,200,76,-64,46,-22,17,0.498887652,1.54344492,1.857118437,0,0.498887652,0.618241233,1.768866555,2.719477074,5.359933665,80.58905357,133.2445371,59.08126231,2.434930982,2.156128217,1.375984496,0,0.471404521,0.573488351,1.995550606,4.349201715,2.719477074,6.784295591,30.55588687,34.7978288
453,508,482,510,469,308,232,148,48,1372,2397,1282,440,506,490,511,390,511,224,116,-56,163,498,461,448.6428571,505.1428571,454.0714286,509.0714286,467.3571429,300.2857143,211.7142857,122.8571429,8.857142857,337,-76.07142857,9.642857143,432.5714286,497.2142857,467.9285714,511,385.5714286,508.6428571,192.8571429,97.14285714,-75.71428571,86.21428571,27.28571429,41.71428571,445,496,398,509,465,290,188,88,-24,-968,-2326,-565,426,488,456,511,382,505,176,64,-120,39,-479,-356,2.408530757,3.700523956,25.36720122,0.257539377,1.585971665,5.188291371,9.73527145,14.13636214,22.63643442,621.3703749,1385.591491,458.7957229,4.894811914,7.022195133,10.92483596,0,2.795769399,1.836422876,13.02117585,12.41460628,15.59958137,35.40415345,323.8307381,268.3200191
434,502,477,509,467,304,212,132,44,350,37,164,408,482,501,511,385,506,212,88,-44,71,67,117,433.8666667,500.8666667,470.3333333,509,467,303.4666667,208,128.5333333,34.93333333,277.4666667,-71.4,103.2666667,405.4,480.7333333,497.4,511,383.9333333,504.8666667,209.3333333,82.13333333,-49.33333333,61.2,40.2,88.73333333,433,500,466,509,467,303,204,124,28,223,-233,63,404,479,492,511,383,501,204,80,-52,48,7,68,0.339934634,0.718021974,3.91010088,0,0,0.498887652,3.265986324,1.995550606,4.725345372,36.63125563,69.44331021,31.65326032,1.019803903,0.997775303,2.497999199,0,0.573488351,1.203698006,2.385139176,2.472964932,2.796823595,5.856051002,17.52407867,14.71265517
434,500,475,509,467,303,212,136,44,372,106,135,417,491,487,511,383,506,216,88,-44,69,77,107,432.0714286,497.5714286,469.0714286,509,466.8571429,302.7857143,209.1428571,127.4285714,34.57142857,272,-70.85714286,84.78571429,413.9285714,487.4285714,484.5714286,511,382.2857143,505.7857143,211.1428571,82,-49.14285714,61.78571429,46.14285714,79.92857143,431,496,465,509,466,302,204,120,28,88,-270,14,410,484,481,511,381,505,208,76,-56,52,29,63,1.222660198,1.720227797,3.954460153,0,0.349927106,0.410325903,2.356060357,3.958973274,3.886134431,73.57988856,114.5830062,40.2406663,2.462991379,2.411706145,1.878992348,0,0.589015089,0.410325903,2.231499907,2.927700219,2.799416849,4.262436785,15.65638684,14.63588684
494,510,493,510,490,270,332,532,80,10183,7760,403,439,511,485,511,442,511,348,216,88,19623,4045,2479,479.2142857,506.9285714,440,509.9285714,479.7857143,261.3571429,201.1428571,92.85714286,-65.42857143,1244.071429,461.6428571,-34.28571429,432.3571429,510.1428571,451.8571429,511,432.5714286,511,197.1428571,40,-22.85714286,2149.428571,-706.6428571,-782.5714286,457,499,92,509,478,249,-64,-68,-460,233,-958,-1819,427,510,427,511,404,511,72,-256,-172,-1458,-11388,-16410,11.23882665,2.865167303,101.0897762,0.257539377,3.004248692,6.183008316,103.9387575,136.5717274,135.7443576,2488.741778,2077.373087,550.8828536,3.734150178,0.349927106,21.56669768,0,11.28028803,0,85.59610901,111.4886285,62.14137929,5120.658436,3495.730449,4425.015863
